description,price,rank,link,other_name,g3d_mark,name
,,589,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8610G+%2B+8600M+Dual&id=2723,AMD Radeon HD 8610G + 8600M Dual Graphics,NA,Radeon HD 8610G + 8600M Dual
,,610,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8610G+%2B+8500M+Dual&id=2585,AMD Radeon HD 8610G + 8500M Dual Graphics,NA,Radeon HD 8610G + 8500M Dual
,,554,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8610G&id=2568,"AMD Radeon HD 8610G, AMD Radeon(TM) HD 8610G",NA,Radeon HD 8610G
,,1023,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8600%2F8700M&id=2998,AMD Radeon HD 8600/8700M,NA,Radeon HD 8600/8700M
,,534,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8570M&id=3009,AMD Radeon HD 8570M,NA,Radeon HD 8570M
,,999,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8570D+%2B+R7+200+Dual&id=2869,AMD Radeon HD 8570D + R7 200 Dual Graphics,NA,Radeon HD 8570D + R7 200 Dual
,,964,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8570D+%2B+R7+240+Dual&id=3086,AMD Radeon HD 8570D + R7 240 Dual Graphics,NA,Radeon HD 8570D + R7 240 Dual
,,1835,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8570D+%2B+HD+7700+Dual&id=3084,AMD Radeon HD 8570D + HD 7700 Dual Graphics,NA,Radeon HD 8570D + HD 7700 Dual
,,1033,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8570D+%2B+HD+8570+Dual&id=3484,AMD Radeon HD 8570D + HD 8570 Dual Graphics,NA,Radeon HD 8570D + HD 8570 Dual
,,1261,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8570D+%2B+HD+6670+Dual&id=2975,AMD Radeon HD 8570D + HD 6670 Dual Graphics,NA,Radeon HD 8570D + HD 6670 Dual
,,753,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8570D+%2B+HD+7000+Dual&id=3222,AMD Radeon HD 8570D + HD 7000 Dual Graphics,NA,Radeon HD 8570D + HD 7000 Dual
,,1239,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8570D+%2B+6570+Dual&id=2969,AMD Radeon HD 8570D + 6570 Dual Graphics,NA,Radeon HD 8570D + 6570 Dual
,,868,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8570D+%2B+HD+6570+Dual&id=2965,AMD Radeon HD 8570D + HD 6570 Dual Graphics,NA,Radeon HD 8570D + HD 6570 Dual
,,677,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8570D&id=2553,AMD Radeon HD 8570D,NA,Radeon HD 8570D
,,620,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8570+%2B+8670D+Dual&id=2722,AMD Radeon HD 8570 + 8670D Dual Graphics,NA,Radeon HD 8570 + 8670D Dual
"Bus Interface: PCIe 3.0 x8, Max Memory Size: 2048 MB, Core Clock(s): 730 MHz, Memory Clock(s): 900,1150 MHz, Graphics API Support: DirectX 11.1 OpenGL 4.4 Max TDP: 66 W",,985,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8570&id=2620,"AMD Radeon HD 8570, AMD Radeon HD 8570 Graphics, AMD Radeon(TM) HD8570, ASUS HD8570 Series",NA,Radeon HD 8570
,,668,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8550G+%2B+R5+M230+Dual&id=2996,AMD Radeon HD 8550G + R5 M230 Dual Graphics,NA,Radeon HD 8550G + R5 M230 Dual
,,619,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8550G+%2B+R5+M200+Dual&id=3272,AMD Radeon HD 8550G + R5 M200 Dual Graphics,NA,Radeon HD 8550G + R5 M200 Dual
,,819,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8550G+%2B+HD+8750M+Dual&id=3071,AMD Radeon HD 8550G + HD 8750M Dual Graphics,NA,Radeon HD 8550G + HD 8750M Dual
,,546,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8550G+%2B+HD+8670M+Dual&id=3455,AMD Radeon HD 8550G + HD 8670M Dual Graphics,NA,Radeon HD 8550G + HD 8670M Dual
,,594,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8550G+%2B+HD+8600M+Dual&id=3079,AMD Radeon HD 8550G + HD 8600M Dual Graphics,NA,Radeon HD 8550G + HD 8600M Dual
,,813,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8550G+%2B+HD+8600%2F8700M+Dual&id=3283,AMD Radeon HD 8550G + HD 8600/8700M Dual Graphics,NA,Radeon HD 8550G + HD 8600/8700M Dual
,,529,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8550G+%2B+HD+8570M+Dual&id=3451,AMD Radeon HD 8550G + HD 8570M Dual Graphics,NA,Radeon HD 8550G + HD 8570M Dual
,,855,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8550G+%2B+HD+7600M+Dual&id=3247,AMD Radeon HD 8550G + HD 7600M Dual Graphics,NA,Radeon HD 8550G + HD 7600M Dual
,,796,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8550G+%2B+8750M+Dual&id=2639,AMD Radeon HD 8550G + 8750M Dual Graphics,NA,Radeon HD 8550G + 8750M Dual
,,664,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8550G+%2B+8690M+Dual&id=2743,AMD Radeon HD 8550G + 8690M Dual Graphics,NA,Radeon HD 8550G + 8690M Dual
,,579,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8550G+%2B+8670M+Dual&id=2610,AMD Radeon HD 8550G + 8670M Dual Graphics,NA,Radeon HD 8550G + 8670M Dual
,,618,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8550G+%2B+8600M+Dual&id=2628,AMD Radeon HD 8550G + 8600M Dual Graphics,NA,Radeon HD 8550G + 8600M Dual
,,803,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8550G+%2B+8600%2F8700M+Dual&id=2637,AMD Radeon HD 8550G + 8600/8700M Dual Graphics,NA,Radeon HD 8550G + 8600/8700M Dual
,,603,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8550G+%2B+8500M+Dual&id=2662,AMD Radeon HD 8550G + 8500M Dual Graphics,NA,Radeon HD 8550G + 8500M Dual
,,533,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8550G+%2B+8570M+Dual&id=2614,AMD Radeon HD 8550G + 8570M Dual Graphics,NA,Radeon HD 8550G + 8570M Dual
,,708,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8550G&id=2583,AMD Radeon HD 8550G,NA,Radeon HD 8550G
,,685,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8550D&id=2828,AMD Radeon HD 8550D,NA,Radeon HD 8550D
,,596,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8510G+%2B+8500M+Dual&id=2577,AMD Radeon HD 8510G + 8500M Dual Graphics,NA,Radeon HD 8510G + 8500M Dual
,,508,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8510G&id=2615,"AMD Radeon HD 8510G, AMD Radeon(TM) HD 8510G",NA,Radeon HD 8510G
,,864,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8500M%2F8700M&id=3000,AMD Radeon (TM) HD 8500M/8700M,NA,Radeon HD 8500M/8700M
,,555,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8500M&id=3012,AMD Radeon HD 8500M,NA,Radeon HD 8500M
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 1024 MB, Core Clock(s): 875 MHz, Memory Clock(s): 900 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 35 W",,381,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8490&id=2841,"AMD Radeon HD 8490, AMD Radeon(TM) HD 8490",NA,Radeon HD 8490
,,717,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8470D+%2B+6450+Dual&id=2648,AMD Radeon HD 8470D + 6450 Dual Graphics,NA,Radeon HD 8470D + 6450 Dual
,,518,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8470D&id=2565,AMD Radeon HD 8470D,NA,Radeon HD 8470D
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 1024 MB, Core Clock(s): 750 MHz, Memory Clock(s): 800 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 35 W",,346,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8470&id=2645,AMD Radeon HD 8470,NA,Radeon HD 8470
,,452,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8450G+%2B+HD+8600M+Dual&id=3166,AMD Radeon HD 8450G + HD 8600M Dual Graphics,NA,Radeon HD 8450G + HD 8600M Dual
,,484,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8450G+%2B+HD+8750M+Dual&id=3587,AMD Radeon HD 8450G + HD 8750M Dual Graphics,NA,Radeon HD 8450G + HD 8750M Dual
,,637,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8450G+%2B+8750M+Dual&id=2667,AMD Radeon HD 8450G + 8750M Dual Graphics,NA,Radeon HD 8450G + 8750M Dual
,,475,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8450G+%2B+8670M+Dual&id=2625,AMD Radeon HD 8450G + 8670M Dual Graphics,NA,Radeon HD 8450G + 8670M Dual
,,414,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8450G&id=2595,AMD Radeon HD 8450G,NA,Radeon HD 8450G
,,545,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8450G+%2B+8600M+Dual&id=2771,AMD Radeon HD 8450G + 8600M Dual Graphics,NA,Radeon HD 8450G + 8600M Dual
,,435,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8410G&id=2848,AMD Radeon HD 8410G,NA,Radeon HD 8410G
,,341,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8400E&id=2775,AMD Radeon(TM) HD 8400E,NA,Radeon HD 8400E
,,360,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8400&id=2582,AMD Radeon HD 8400,NA,Radeon HD 8400
,,432,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8370D&id=2712,AMD Radeon HD 8370D,NA,Radeon HD 8370D
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 512 MB, Core Clock(s): 400 MHz, Memory Clock(s): 650 MHz, Graphics API Support: DirectX 80:08:04 OpenGL 11 Max TDP: 4.4 W",,265,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8350&id=2707,"AMD Radeon HD 8350, AMD Radeon(TM) HD 8350, ASUS HD8350 Series",1.89,Radeon HD 8350
"Bus Interface: Integrated, Core Clock(s): 514 MHz, Graphics API Support: DirectX 11.0 OpenGL 4.3 Max TDP: 35 W",,420,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8350G&id=2580,AMD Radeon HD 8350G,NA,Radeon HD 8350G
,,339,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8330&id=2627,"AMD Radeon HD 8330, AMD Radeon HD 8330 Graphics",NA,Radeon HD 8330
,,326,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8330E&id=2709,AMD Radeon(TM) HD 8330E,NA,Radeon HD 8330E
,,324,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8280E&id=2799,AMD Radeon(TM) HD 8280E,NA,Radeon HD 8280E
,,270,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8280G&id=2512,AMD Radeon HD 8280G,NA,Radeon HD 8280G
,,321,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8280&id=2810,AMD Radeon HD 8280,NA,Radeon HD 8280
,,259,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8250&id=2541,"AMD Radeon HD 8250, AMD Radeon HD 8250 Graphics",NA,Radeon HD 8250
,,279,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8240&id=2653,AMD Radeon HD 8240,NA,Radeon HD 8240
,,253,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8210&id=2575,"AMD Radeon HD 8210, AMD Radeon HD 8210 Graphics",NA,Radeon HD 8210
"Bus Interface: PCIe 3.0 x16, Max Memory Size: 3072 MB, Core Clock(s): 950 MHz, Memory Clock(s): 1500 MHz, Graphics API Support: DirectX 11.2 OpenGL 4.4 Max TDP: 375 W",,5491,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7990&id=2528,"AMD Radeon HD 7900 Series, ASUS HD7990 Series",4.87,Radeon HD 7990
,,199,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+8180&id=2668,AMD Radeon HD 8180,NA,Radeon HD 8180
"Bus Interface: PCIe 3.0 x16, Max Memory Size: 3072 MB, Core Clock(s): 1000 MHz, Memory Clock(s): 1500 MHz, Graphics API Support: DirectX 11.2/12.0 OpenGL 4.4 Max TDP: 250 W",,5248,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7970+%2F+R9+280X&id=51,"AMD Radeon HD 7970, AMD Radeon HD 7970 / R9 280X, ASUS R9 280X Series",12.49,Radeon HD 7970 / R9 280X
"Bus Interface: PCIe 3.0 x16, Max Memory Size: 4096 MB, Core Clock(s): 850 MHz, Memory Clock(s): 1200 MHz, Graphics API Support: DirectX 11.1 OpenGL 4.4 Max TDP: 75 W",,3814,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7970M&id=326,"AMD Radeon HD 7970M, AMD Radeon HD 7970M (Engineering Sample - WDDM v2.0)",NA,Radeon HD 7970M
"Bus Interface: PCIe 3.0 x16, Max Memory Size: 3072 MB, Core Clock(s): 850 MHz, Memory Clock(s): 1250 MHz, Graphics API Support: DirectX 11.2/12.0 OpenGL 4.4 Max TDP: 200 W",,4765,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7950+%2F+R9+280&id=325,"AMD Radeon HD 7950, AMD Radeon HD 7950 / R9 280, ASUS R9 280 Series",9.93,Radeon HD 7950 / R9 280
"Bus Interface: PCIe 3.0 x16, Max Memory Size: 2048 MB, Core Clock(s): 800 MHz, Memory Clock(s): 1000 MHz, Graphics API Support: DirectX 11.1 OpenGL 4.4 Max TDP: 45 W",,1478,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7870M&id=2308,AMD Radeon HD 7870M,NA,Radeon HD 7870M
"Bus Interface: PCIe 3.0 x16, Max Memory Size: 2048 MB, Core Clock(s): 925 MHz, Memory Clock(s): 1500 MHz, Graphics API Support: DirectX 11.2 OpenGL 4.4 Max TDP: 185 W",,4446,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7870+XT&id=2557,"AMD Radeon HD 7800 Series, AMD Radeon HD 7870 (Tahiti LE)",NA,Radeon HD 7870 XT
"Bus Interface: PCIe 3.0 x16, Max Memory Size: 2048 MB, Core Clock(s): 1000 MHz, Memory Clock(s): 1200 MHz, Graphics API Support: DirectX 11.2 OpenGL 4.4 Max TDP: 175 W",,4361,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7870&id=324,"AMD Radeon HD 7770, AMD Radeon HD 7800 Series, AMD Radeon HD 7870, AMD Radeon HD 7870 (Tahiti LE), ASUS HD7870 Series",18.96,Radeon HD 7870
"Bus Interface: PCIe 3.0 x16, Max Memory Size: 2048 MB, Core Clock(s): 675 MHz, Memory Clock(s): 1000 MHz, Graphics API Support: DirectX 11.1 OpenGL 4.4 Max TDP: 40 W",,1373,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7850M&id=1688,Radeon (TM) HD 7850M,NA,Radeon HD 7850M
"Bus Interface: PCIe 3.0 x16, Max Memory Size: 2048 MB, Core Clock(s): 860 MHz, Memory Clock(s): 1200 MHz, Graphics API Support: DirectX 11.2 OpenGL 4.4 Max TDP: 130 W",,3833,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7850&id=323,"AMD Radeon HD 7850, ASUS HD7850 Series",16.31,Radeon HD 7850
"Bus Interface: PCIe 3.0 x16, Max Memory Size: 2048 MB, Core Clock(s): 1000 MHz, Memory Clock(s): 1500 MHz, Graphics API Support: DirectX 11.2 OpenGL 4.4 Max TDP: 85 W",,3058,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7790&id=2502,"AMD Radeon HD 7700 Series, AMD Radeon HD 7700 Series (Engineering Sample - WDDM v2.0), ASUS HD7790 Series",22.65,Radeon HD 7790
"Bus Interface: PCI Express 3.0 x16, Max Memory Size: 2048 MB, Core Clock(s): 1020 MHz, Memory Clock(s): 1150 MHz, Graphics API Support: DirectX 11.2 OpenGL 4.2 Max TDP: 80 W",,2211,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7770&id=322,"AMD Radeon HD 7770, ASUS HD7770 Series",20.11,Radeon HD 7770
"Bus Interface: PCIe 3.0 x16, Max Memory Size: 4096 MB, Core Clock(s): 800,900 MHz, Memory Clock(s): 800,1125 MHz, Graphics API Support: DirectX 11.2 OpenGL 4.4 Max TDP: 55 W",,1698,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7750&id=321,"AMD Radeon HD 7750, AMD Radeon HD 7750 Graphics, ASUS HD7750 Series",17.87,Radeon HD 7750
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 2048 MB, Core Clock(s): 575 MHz, Memory Clock(s): 1000 MHz, Graphics API Support: DirectX 11.1 OpenGL 4.4 Max TDP: 28 W",,1191,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7750M&id=2476,"AMD Radeon HD 7750M, Radeon (TM) HD 7750M",NA,Radeon HD 7750M
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 2048 MB, Core Clock(s): 575,675 MHz, Memory Clock(s): 900,900 MHz, Graphics API Support: DirectX 11.1 OpenGL 4.4 Max TDP: 25 W",,1017,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7730M&id=2995,AMD Radeon HD 7730M,NA,Radeon HD 7730M
"Bus Interface: PCIe 3.0 x16, Max Memory Size: 1024 MB, Core Clock(s): 800 MHz, Memory Clock(s): 900-1125 MHz, Graphics API Support: DirectX 11.2 OpenGL 4.2 Max TDP: 47 W",,1431,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7730&id=3138,AMD Radeon HD 7730,28.62,Radeon HD 7730
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 2048 MB, Core Clock(s): 725,600 MHz, Memory Clock(s): 900,900 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 20 W",,1000,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7690M&id=2294,"AMD Radeon HD 7690M, Radeon (TM) HD 7690M",NA,Radeon HD 7690M
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 2048 MB, Core Clock(s): 725 MHz, Memory Clock(s): 900 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 25 W",,1009,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7690M+XT&id=3024,Radeon (TM) HD 7690M XT,NA,Radeon HD 7690M XT
,,738,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7670M+%2B+7670M+Dual&id=2277,AMD Radeon HD 7670M + 7670M Dual Graphics,NA,Radeon HD 7670M + 7670M Dual
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 1024 MB, Core Clock(s): 600 MHz, Memory Clock(s): 900 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 20 W",,812,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7670M&id=320,"AMD Radeon HD 7670M, AMD Radeon. HD 7670M, Radeon (TM)  HD 7670M, Radeon (TM) HD 7670M",1.29,Radeon HD 7670M
,,1049,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7670A&id=333,AMD Radeon(TM) HD 7670A Graphics,NA,Radeon HD 7670A
,,967,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+N+HD+7660G+%2B+HD+7700M+N+HD+7700M+D&id=2750,AMD Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M Dual Graphics,NA,Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M D
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 1024 MB, Core Clock(s): 800 MHz, Memory Clock(s): 1000 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 66 W",,1101,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7670&id=319,"AMD Radeon HD 7670, ASUS HD7670 Series",NA,Radeon HD 7670
,,705,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+N+HD+7660G+%2B+HD+7670M+Dual&id=2795,AMD Radeon HD 7660G N HD 7660G + HD 7670M Dual Graphics,NA,Radeon HD 7660G N HD 7660G + HD 7670M Dual
,,711,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+HD+8670M+Dual&id=3390,AMD Radeon HD 7660G + HD 8670M Dual Graphics,NA,Radeon HD 7660G + HD 8670M Dual
,,723,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+N+HD+7660G+%2B+HD+7600M+N+HD+7600M+D&id=2726,AMD Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M Dual Graphics,NA,Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D
,,752,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+HD+7700M+Dual&id=2988,AMD Radeon HD 7660G + HD 7700M Dual Graphics,NA,Radeon HD 7660G + HD 7700M Dual
,,882,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+HD+7730M+Dual&id=3433,AMD Radeon HD 7660G + HD 7730M Dual Graphics,NA,Radeon HD 7660G + HD 7730M Dual
,,788,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+HD+7600M+Dual&id=2864,AMD Radeon HD 7660G + HD 7600M Dual Graphics,NA,Radeon HD 7660G + HD 7600M Dual
,,707,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+HD+7670M+Dual&id=2794,AMD Radeon HD 7660G + HD 7670M Dual Graphics,NA,Radeon HD 7660G + HD 7670M Dual
,,999,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+HD+7500M%2F7600M+Dual&id=3488,AMD Radeon HD 7660G + HD 7500M/7600M Dual Graphics,NA,Radeon HD 7660G + HD 7500M/7600M Dual
,,588,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+8670M+Dual&id=2839,AMD Radeon HD 7660G + 8670M Dual Graphics,NA,Radeon HD 7660G + 8670M Dual
,,446,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+8600M+Dual&id=2837,AMD Radeon HD 7660G + 8600M Dual Graphics,NA,Radeon HD 7660G + 8600M Dual
,,931,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+7730M+Dual&id=2779,AMD Radeon HD 7660G + 7730M Dual Graphics,NA,Radeon HD 7660G + 7730M Dual
,,744,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+7670M+Dual&id=318,AMD Radeon HD 7660G + 7670M Dual Graphics,NA,Radeon HD 7660G + 7670M Dual
,,757,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+7700M+Dual&id=2409,AMD Radeon HD 7660G + 7700M Dual Graphics,NA,Radeon HD 7660G + 7700M Dual
,,745,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+7610M+Dual&id=2335,AMD Radeon HD 7660G + 7610M Dual Graphics,NA,Radeon HD 7660G + 7610M Dual
,,631,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+7470M+Dual&id=317,AMD Radeon HD 7660G + 7470M Dual Graphics,NA,Radeon HD 7660G + 7470M Dual
,,822,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+7600M+Dual&id=2233,AMD Radeon HD 7660G + 7600M Dual Graphics,NA,Radeon HD 7660G + 7600M Dual
,,588,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G+%2B+7400M+Dual&id=2367,AMD Radeon HD 7660G + 7400M Dual Graphics,NA,Radeon HD 7660G + 7400M Dual
,,942,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660D+%2B+R7+240+Dual&id=3163,AMD Radeon HD 7660D + R7 240 Dual Graphics,NA,Radeon HD 7660D + R7 240 Dual
,,804,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660G&id=316,AMD Radeon HD 7660G,NA,Radeon HD 7660G
,,1958,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660D+%2B+HD+7700+Dual&id=3335,AMD Radeon HD 7660D + HD 7700 Dual Graphics,NA,Radeon HD 7660D + HD 7700 Dual
,,634,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660D+%2B+HD+7000+Dual&id=2879,AMD Radeon HD 7660D + HD 7000 Dual Graphics,NA,Radeon HD 7660D + HD 7000 Dual
,,1485,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660D+%2B+HD+6670+Dual&id=3091,AMD Radeon HD 7660D + HD 6670 Dual Graphics,NA,Radeon HD 7660D + HD 6670 Dual
,,1062,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660D+%2B+7670+Dual&id=2255,AMD Radeon HD 7660D + 7670 Dual Graphics,NA,Radeon HD 7660D + 7670 Dual
,,1238,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660D+%2B+6670+Dual&id=2249,AMD Radeon HD 7660D + 6670 Dual Graphics,NA,Radeon HD 7660D + 6670 Dual
,,465,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660D+%2B+7470+Dual&id=2266,AMD Radeon HD 7660D + 7470 Dual Graphics,NA,Radeon HD 7660D + 7470 Dual
,,1100,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660D+%2B+6570+Dual&id=2448,AMD Radeon HD 7660D + 6570 Dual Graphics,NA,Radeon HD 7660D + 6570 Dual
"Bus Interface: UNB/MC, Core Clock(s): 760,800 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 100 W",,784,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7660D&id=315,AMD Radeon HD 7660D,NA,Radeon HD 7660D
,,793,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7650A&id=332,"AMD Radeon HD 7650A, AMD Radeon HD 7650A Graphics, AMD Radeon(TM) HD 7650A Graphics",3.03,Radeon HD 7650A
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 1024 MB, Core Clock(s): 450,550 MHz, Memory Clock(s): 800,800 MHz, Graphics API Support: DirectX 11 OpenGL 4.4 Max TDP: 20 W",,723,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7650M&id=314,AMD Radeon HD 7650M,NA,Radeon HD 7650M
